Constituency_No,Constituency_Name,Candidate_Name,Political_Party,Votes_Polled,Year,Province,Sex
NA-12,Sawabi-I,Mr.Shehryar Khan,Awami National Party,32038,2002,KPK
NA-12,Sawabi-I,Mr.Muhammad Usman ,Muttahidda Majlis-e-Amal Pakistan,53825,2002,KPK
NA-13,Sawabi-II,Mr.Asad Qaisar,Pakistan Tehreek-e-Insaf,766,2002,KPK
NA-13,Sawabi-II,Mr.Iftikhar Khan,Pakistan Muslim League(N),16749,2002,KPK
NA-13,Sawabi-II,Professor Munawar Khan,National Alliance,1853,2002,KPK
NA-13,Sawabi-II,Mr.Muhammad Sadiq Khan,Awami National Party,19471,2002,KPK
NA-13,Sawabi-II,Maulana Khalil Ahmed,Muttahidda Majlis-e-Amal Pakistan,50096,2002,KPK
NA-14,Kohat,Mr.Javed Ibrahim Paracha,Pakistan Muslim League(N),2712,2002,KPK
NA-14,Kohat,Syed Iftikhar Hussain Gillani,Pakistan Muslim League(QA),14277,2002,KPK
NA-14,Kohat,Syed Mazher Ali Shah,Pak Wattan Party,599,2002,KPK
NA-14,Kohat,Mr.Saifullah Khan Khattak Advocate,Pakistan Peoples Party Parliamentarians,7205,2002,KPK
NA-14,Kohat,Mr.Shah Baz Gul Shinwari,National Alliance,1520,2002,KPK
NA-14,Kohat,Mr.Sheharyar Afridi,Independent,12083,2002,KPK
NA-14,Kohat,Mr.Fazal Rahim Khattak,Awami National Party,11299,2002,KPK
NA-14,Kohat,Mufti Ibrar Sultan,Muttahidda Majlis-e-Amal Pakistan,46130,2002,KPK
NA-15,Karak,Mr.Ajmal Khan,Independent,9443,2002,KPK
NA-15,Karak,Mr.Badshah Jan,Pakistan Pakhtoonkhawa Milli Awami Party,193,2002,KPK
NA-15,Karak,Mr.Rehmat Salam,Pakistan Muslim League(N),13381,2002,KPK
NA-15,Karak,Mr.Said Ullah Shah,Pakistan Peoples Party(Sherpao),3237,2002,KPK
NA-15,Karak,Mr.Shah Abdul Aziz,Muttahidda Majlis-e-Amal Pakistan,31325,2002,KPK
NA-15,Karak,Mr.Imran Ahmad Khan Niazi,Pakistan Tehreek-e-Insaf,9972,2002,KPK
NA-15,Karak,Farzana Masood,Independent,83,2002,KPK
NA-15,Karak,Mr.Muhammad Iqbal ,Independent,75,2002,KPK
NA-15,Karak,Mr.Muhammad Amin Khattak,Awami National Party,9110,2002,KPK
NA-15,Karak,Mr.Masood Sharif Khattak,Pakistan Peoples Party Parliamentarians,17712,2002,KPK
NA-15,Karak,Mir Zakim Khan,Independent,1113,2002,KPK
NA-16,Hangu,Mr.Akhunzada Muhammad Sadiq,Muttahidda Majlis-e-Amal Pakistan,25252,2002,KPK
NA-16,Hangu,Mr.Javed Ibrahim Paracha,Pakistan Muslim League(N),421,2002,KPK
NA-16,Hangu,Hafiz Khursheed Ali Khan,Independent,447,2002,KPK
NA-16,Hangu,Mr.Hassan Ahmed Khan,Awami National Party,5234,2002,KPK
NA-16,Hangu,Dr. Muhammad Aslam Khan,Independent,758,2002,KPK
NA-16,Hangu,Mr.Zaman Noor Bangash,Pakistan Tehreek-e-Insaf,3137,2002,KPK
NA-16,Hangu,Mr.Shaharyar Khan Bangash,Pakistan Muslim League(QA),4189,2002,KPK
NA-16,Hangu,Col ® Muhammad Idress Niazi,Pakistan Peoples Party(Sherpao),4035,2002,KPK
NA-16,Hangu,Kishwar Sultana,Pakistan Awami Tehreek,1503,2002,KPK
NA-17,Abbottabad-I,Mr. Asif Malik Advocate,Hazara Qaumi Mahaz,3384,2002,KPK
NA-17,Abbottabad-I,Al-Haj Habib-ur-Rehman Abbasi,Muttahidda Majlis-e-Amal Pakistan,21383,2002,KPK
