,CONSTITUENCY-WISE DETAILED RESULTS,,,
,NWFP PROVINCE,,,
SL.No.,Constesting candidates,Party Affiliation,Votes Polled,
1,Mr.Habib Ullah Khan,Awami National Party,14462,
2,Dr. Muhammad Afzal Khan ,Pakistan Tehreek-e-Insaf,5923,
3,Maulana Attaur-Rehman,Muttahidda Majlis-e-Amal Pakistan,51918,
,,Valid Votes,72303,
,,Rejected Votes ,1757,
,,Total Votes ,74060,
,,Registered Voters,223487,
,,Percentage of Votes Polled to Registered Voters,33.14,%
,,NA-12 Sawabi-I,,
1,Mr.Khalid Jehangir,Pakistan Muslim League(Z),967,
2,Mr.Shehryar Khan,Awami National Party,32038,
3,Mr.Muhammad Usman ,Muttahidda Majlis-e-Amal Pakistan,53825,
,,Valid Votes,86830,
,,Rejected Votes ,2009,
,,Total Votes ,88839,
,,Registered Voters,236270,
,,Percentage of Votes Polled to Registered Voters,37.6,%
,,NA-13 Sawabi-II,,
1,Mr.Asad Qaisar,Pakistan Tehreek-e-Insaf,766,
2,Mr.Iftikhar Khan,Pakistan Muslim League(N),16749,
3,Professor Munawar Khan,National Alliance,1853,
4,Mr.Muhammad Sadiq Khan,Awami National Party,19471,
5,Maulana Khalil Ahmed,Muttahidda Majlis-e-Amal Pakistan,50096,
,,Valid Votes,88935,
,,Rejected Votes ,2515,
,,Total Votes ,91450,
,,Registered Voters,237950,
,,Percentage of Votes Polled to Registered Voters,38.43,%
,,Asghar/Tanveer,,
,,NA-14 Kohat,,
1,Mr.Javed Ibrahim Paracha,Pakistan Muslim League(N),2712,
2,Syed Iftikhar Hussain Gillani,Pakistan Muslim League(QA),14277,
3,Syed Mazher Ali Shah,Pak Wattan Party,599,
4,Mr.Saifullah Khan Khattak Advocate,Pakistan Peoples Party Parliamentarians,7205,
5,Mr.Shah Baz Gul Shinwari,National Alliance,1520,
6,Mr.Sheharyar Afridi,Independent,12083,
7,Mr.Fazal Rahim Khattak,Awami National Party,11299,
8,Mufti Ibrar Sultan,Muttahidda Majlis-e-Amal Pakistan,46130,
,,Valid Votes,95825,
,,Rejected Votes ,3748,
,,Total Votes ,99573,
,,Registered Voters,317082,
,,Percentage of Votes Polled to Registered Voters,31.4,%
,,NA-15 Karak,,
1,Mr.Ajmal Khan,Independent,9443,
2,Mr.Badshah Jan,Pakistan Pakhtoonkhawa Milli Awami Party,193,
3,Mr.Rehmat Salam,Pakistan Muslim League(N),13381,
4,Mr.Said Ullah Shah,Pakistan Peoples Party(Sherpao),3237,
5,Mr.Shah Abdul Aziz,Muttahidda Majlis-e-Amal Pakistan,31325,
6,Mr.Imran Ahmad Khan Niazi,Pakistan Tehreek-e-Insaf,9972,
7,Farzana Masood,Independent,83,
8,Mr.Muhammad Iqbal ,Independent,75,
9,Mr.Muhammad Amin Khattak,Awami National Party,9110,
10,Mr.Masood Sharif Khattak,Pakistan Peoples Party Parliamentarians,17712,
11,Mir Zakim Khan,Independent,1113,
,,Valid Votes,95644,
,,Rejected Votes ,1780,
,,Total Votes ,97424,
,,Registered Voters,251508,
,,Percentage of Votes Polled to Registered Voters,38.74,%
,,NA-16 Hangu,,
1,Mr.Akhunzada Muhammad Sadiq,Muttahidda Majlis-e-Amal Pakistan,25252,
2,Mr.Javed Ibrahim Paracha,Pakistan Muslim League(N),421,
3,Hafiz Khursheed Ali Khan,Independent,447,
4,Mr.Hassan Ahmed Khan,Awami National Party,5234,
5,Dr. Muhammad Aslam Khan,Independent,758,
6,Mr.Zaman Noor Bangash,Pakistan Tehreek-e-Insaf,3137,
7,Mr.Shaharyar Khan Bangash,Pakistan Muslim League(QA),4189,
8,Col ® Muhammad Idress Niazi,Pakistan Peoples Party(Sherpao),4035,
9,Kishwar Sultana,Pakistan Awami Tehreek,1503,
,,Valid Votes,44976,
,,Rejected Votes ,1249,
,,Total Votes ,46225,
